Date : 2025-04-05 17:12:42
Directory : c:\Users\Ivy\Downloads\Fultter\attempt1
Total : 94 files,  30229 codes, 2491 comments, 3129 blanks, all 35849 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\Ivy\Downloads\Fultter\attempt1\windows\flutter\generated_plugins.cmake                       | CMake           |         26 |          0 |          6 |         32 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\CMakeLists.txt                                 | CMake           |         34 |          0 |          7 |         41 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\flutter_window.cpp                             | C++             |         49 |          7 |         16 |         72 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\flutter_window.h                               | C++             |         20 |          5 |          9 |         34 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\main.cpp                                       | C++             |         30 |          4 |         10 |         44 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\resource.h                                     | C++             |          9 |          6 |          2 |         17 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\utils.cpp                                      | C++             |         54 |          2 |         10 |         66 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\utils.h                                        | C++             |          8 |          6 |          6 |         20 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\win32_window.cpp                               | C++             |        210 |         24 |         55 |        289 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\windows\runner\win32_window.h                                 | C++             |         48 |         31 |         24 |        103 |
| Total                                                                                                 |                 |     30,229 |      2,491 |      3,129 |     35,849 |
+-------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
